path,format,bytes,width,height,role,sha256
assets/brand/apple-touch-icon.png,png,4577,180,180,canonical compact identity or optical derivative,f7284b47436e60d62e270041d376eb0cdf6fba6ed9ea8d16352a1b4e56b3039a
assets/brand/avatar-1024.png,png,28236,1024,1024,canonical compact identity or optical derivative,8bdc8af4a81f46fe53ac947fecd38e0fc68cc9954f717a801074a1f21921524c
assets/brand/favicon-128.png,png,9270,128,128,canonical compact identity or optical derivative,49c045e2b87e3b085582304b9b9739920cd01c3b42b193a10bd955a2abe78ef9
assets/brand/favicon-16.png,png,1173,16,16,canonical compact identity or optical derivative,8b55b71b929bd248562481012ee5f874127b2ac884c495c8becb588615f247dc
assets/brand/favicon-16@2x.png,png,2176,32,32,canonical compact identity or optical derivative,cf0de7300465b28715095debc126746c2132d4c74b3f57885e2c84aade9b465b
assets/brand/favicon-24.png,png,1621,24,24,canonical compact identity or optical derivative,06886d7bb34b4e506bbd0d573d60d57641652674ac2c254b88a863419be65b94
assets/brand/favicon-24@2x.png,png,3056,48,48,canonical compact identity or optical derivative,e14b489344715e3957dc729a1df137efeffdae84494e4c68c1ff6cc77ba4ee01
assets/brand/favicon-256.png,png,17988,256,256,canonical compact identity or optical derivative,ae096abbc66cbf1912aa89bccc12b32401cf690635282479e15c5b65ebfc1494
assets/brand/favicon-32.png,png,2265,32,32,canonical compact identity or optical derivative,a20731a368bcc1617001601110037020a02b635e7281ccfdd3db5e0de0bc2f94
assets/brand/favicon-32@2x.png,png,4592,64,64,canonical compact identity or optical derivative,26208025a4b894addb2307e2a00cdf106adff12606bc54771a18f439e1f894d0
assets/brand/favicon-48.png,png,3481,48,48,canonical compact identity or optical derivative,f84c9567c5c347f701f7813bdb8851113a662ff030bfae8b65b259d3f9b030a3
assets/brand/favicon-512.png,png,37439,512,512,canonical compact identity or optical derivative,8d31e7bf1f376678c3550bb6c72aa6fa0bf6339290476357975b3e464abae12b
assets/brand/favicon-64.png,png,4592,64,64,canonical compact identity or optical derivative,26208025a4b894addb2307e2a00cdf106adff12606bc54771a18f439e1f894d0
assets/brand/favicon.ico,ico,40508,,,canonical compact identity or optical derivative,a944db04d79dfcc173c3b7a0e4b90589d8190b34e271822e69e0dec64f14effe
assets/brand/favicon.svg,svg,873,,,canonical compact identity or optical derivative,e5436e944a0d27eb7b04c985e62045efde520c859501e8b4ed0c8cb4bd027750
assets/brand/github-social-preview-1280x640.png,png,198593,1280,640,canonical social composition,762d913ef90de2a091bc89434ca23622a1d0e644dc18123c01afb469b77f063a
assets/brand/github-social-preview.svg,svg,224386,,,canonical social composition,777471da3bad83b9cf4964e7f624aa3e071913e3be78da618bf381d026532f0a
assets/brand/icon-192.png,png,4852,192,192,canonical compact identity or optical derivative,2e9fa40c0a5cb22f13514913122c8f821968f0affd5b90525d1dfae44f33cc1c
assets/brand/icon-512.png,png,13094,512,512,canonical compact identity or optical derivative,d68f1f7cb891e5b891381d7c78173664986d3a980f89fec4adc520c6cae0f0d2
assets/brand/open-graph-1200x630.png,png,229995,1200,630,canonical social composition,c5f60a186248c67732e02f797601e93c32c04a39cefc6b8915c8208d69cea450
assets/brand/readme-hero-retained.png,png,931563,1800,600,optional supplementary illustration; not primary mark,5e9a1f43b2b64348a5502e02c92507eaf4af2404c064c76225e862bcbaf09248
assets/brand/site.webmanifest,webmanifest,526,,,conditional website integration,ee88717af229861e2e14c20a3c0d3585b3f149eb0e4688d66d505675739def76
assets/brand/symbol-dark-1024.png,png,36713,1024,1024,canonical compact identity or optical derivative,f58ed7915257f52b6660d783f7299215bcacc5305fb68877b7ebaf12d56447f3
assets/brand/symbol-dark-128.png,png,3928,128,128,canonical compact identity or optical derivative,ce9bfdc4ce5ab68cba17ca6e61a70f18ef2b46847d42dfec710ea8146f2f8aef
assets/brand/symbol-dark-256.png,png,7549,256,256,canonical compact identity or optical derivative,7bf03b78f6b253e8431e8f675b2a457fa48362165b6d123c130f0032048201fa
assets/brand/symbol-dark-512.png,png,15652,512,512,canonical compact identity or optical derivative,fb989aaab8397e5b7b20d627f8650b3ca4f50f191ecaf63f49b0b529156bc3a4
assets/brand/symbol-dark.svg,svg,940,,,canonical compact identity or optical derivative,711a0165584de904ecc3b9bd6d3947a39dd4a4d9c1e9613533615c34aedd3db0
assets/brand/symbol-ink.svg,svg,623,,,canonical compact identity or optical derivative,e57b945c2159c82c541e9781cc3e3a02958d469015d719c2088dc68343b15941
assets/brand/symbol-light-1024.png,png,29433,1024,1024,canonical compact identity or optical derivative,d185293f621bb279d997ee4bba95aa75d1b5b9849cc2e8238a755f7391e6766e
